name	id	cuisine	ingredients	type_of_dish1	recipes
Tauhu goreng	/m/06n85x	Singaporean cuisine			
Pita	/m/0l6w2	Jewish cuisine,Armenian		Bread	
Delmonico potatoes	/m/0bbql80		Grated cheese,Buttered breadcrumbs		
Pasta fagioli	/m/0btmnp	Italian			
Alanya kebab	/m/0c0t7g	Turkish			
Kipper	/m/04ct4	Scottish cuisine			
Ankimo	/m/09yw48	Japanese Cuisine			
Chankonabe	/m/09hs60	Japanese Cuisine			
Jaangiri	/m/02qtsp8				
Pink lady	/m/02rk4tz		Cream,Gin,Egg white,Grenadine		
Dried shredded squid	/m/02rn_83	Japanese Cuisine,Cuisine of Hong Kong			
Mint Julep	/m/028ylt		Bourbon whiskey,Sugar		
Kikhel	/m/027bhvq	Jewish cuisine			
Kompeito	/m/02h4y5	Japanese Cuisine			
Mostarda	/m/027fqck	Italian			
Gougère	/m/027xns3	French			
One-Balled Dictator	/m/03f236		Champagne,Liebfraumilch,Cinnamon		
Moussaka	/m/033xwr	Greek,Armenian	Lamb		
Mayalu	/m/02r7zcn	Indian cuisine			
Guacamole	/m/02g30s	Mexican			
Biryani	/m/03_hl0	Indian cuisine			
Gigha	/m/02dlv6	Scottish cuisine			
Helzel	/m/02qjspp	Jewish cuisine			
Mashed potato	/m/02fvjy	German,French,American	Potato	Side dish	
Stratta	/m/02qxy7b				
Beef noodle soup	/m/02tcfg	Taiwanese,Chinese	Scallion,Noodle,Beef,Star anise	Noodle soup	
Vanillerostbraten	/m/02qhw_2	German			
Aria di Festa	/m/02vnwkw	Italian			
Shankarpali	/m/03c8xgv	Indian cuisine			
Rosca de reyes	/m/03cpzmn	Mexican			
Bagara khana	/m/03cwj3x	Indian cuisine			
Lye roll	/m/02z_zx	German			
Cavallucci	/m/027q9n7	Italian			
Chakkoli	/m/0gtkdc	Indian cuisine			
Gratin dauphinois	/m/0bgz_6	French	Gruyère,Potato,Crème fraîche	Side dish	
Manjar Blanco	/m/0bpb7w	Spanish Cuisine			
