name	id	beer_style	first_brewed	alcohol_content	original_gravity	final_gravity	ibu_scale	country	brewery_brand	color_srm	from_region	containers
Hogs Back T.E.A.	/m/04dqcwl	Bitter		4.2					Hogs Back Brewery		United Kingdom	/m/04dr0v_
James Squire Porter	/m/03m2n31										Australia	
Anchor Old Foghorn	/m/04dqwsz			9.4					Anchor Brewing Company		United States of America	/m/04dqy9r
Hanssens Oudbeitje	/m/04dq9dm			6.0					Hanssens		Belgium	/m/04dr2mw
Kunstmann Bock	/m/04dqdw9			6.0					Kunstmann		Chile	/m/04dr5c6
Berliner Kindl Original Weisse mit Schuss: Waldmeister	/m/04dqx91			2.5					Berliner Kindl		Germany	/m/04dr4dx
Malt Shovel Brewery James Squire Porter	/m/04dqcbz			5.0					Malt Shovel Brewery		Australia	/m/04dq_23
De Regenboog Sleedoornbier	/m/04dqcs2			6.0					Regenboog Brewery		Belgium	/m/04dr1gc
Cooper's Premium Lager	/m/03q49_k											
Bath Ales SPA	/m/0bhj2mm	Pale ale		3.7					Bath Ales			
Dark Star Hylder Blond	/m/0dl8hjh			4.2					Dark Star			
Mole Trap	/m/0cttps4			3.8					Mauldons Brewery			
New Holland Dragon's Milk Ale Aged in Oak Barrels	/m/0n1v3k_	Ale		10.0	23.0				New Holland Brewing Company			
Royal OakComrade Jiri's Czech Pils	/m/0n1vlnb								The Royal Oak Brewery			
Founder's Dirty Bastard	/m/0lywmqv	Scotch ale		8.5			50.0		Founders Brewing Company			
New Holland Single-Hop IPA	/m/0n1v741								New Holland Brewing Company			
Jolly Pumpkin La Roja	/m/0lywm4b								Jolly Pumpkin Artisan Ales			
New Holland Heirloom Ale	/m/0n1v713								New Holland Brewing Company			
Theakston Hogshead Bitter	/m/0kc1jm2								Theakston Brewery			
Nethergate Umbel Ale Coriander Beer	/m/04dqf7b			3.8					Nethergate brewery		United Kingdom	/m/04dr00w
Wickwar Infernal Brew	/m/04dqfy6			4.8					Wickwar		United Kingdom	/m/04dq_9r
Lodzkie (subsidiary of Kaltenberg) Glob Premium	/m/04dqd05			5.5					Lodzkie (subsidiary of Kaltenberg)		Poland	/m/04dqxcr
Maclay Thistle MacKinnon's Curse (Asda)	/m/04dqfzr			4.1					Maclay Thistle		United Kingdom	/m/04dr58z
Cannery Blackberry Porter	/m/04dqbfw			8.0					Cannery		Canada	/m/04dr4s5
Batemans Spring Breeze	/m/04dqgsb			5.0					Batemans Brewery		United Kingdom	/m/04dr023
Alcazar (Sherwood Forest Brewery Co) Maiden's Magic	/m/04dq9h7			5.0					Alcazar (Sherwood Forest Brewing Co)		United Kingdom	/m/04dq_hm
Usher's White Ale	/m/04dqsbh			6.5					Usher's		United Kingdom	/m/04dr3l4
Concord Brewers Rapscallion Premier	/m/04dqt4r			6.75					Concord Brewers		United States of America	/m/04dr2fm
Huisbrouwerij Klein Duimpje Hillegoms Tarwe Bier	/m/04dqhd9			5.0					Huisbrouwerij Klein Duimpje		Netherlands	/m/04dqztr
Federation High Level Strong Brown Ale	/m/04dqhp1			4.5					Federation		United Kingdom	/m/04dr2n_
Integrated Bottling Solutions Hazy Days	/m/04dqj6k			3.9					Integrated Bottling Solutions		United Kingdom	/m/04dr0wc
De Proefbrouwerij Kapel van Viven blond	/m/04dqjhh			6.8					De Proefbrouwerij		Belgium	/m/04dr28r
Haacht Charles Quint/Keizer Karel	/m/04dqk4v			9.0					Haacht		Belgium	/m/04dq_tm
De Leckere Tripel	/m/04dqk96			8.0					De Leckere		Netherlands	/m/04dr6_6
Ventnor Wight Spirit	/m/04dqkb9			5.0					Ventnor		United Kingdom	/m/04dr6h2
Wye Valley Brewery O'er The Sticks	/m/04dqkxg			4.5					Wye Valley Brewery		United Kingdom	/m/04dr6w2
John Smiths	/m/03gnvjj	Bitter	1847	4.0							United Kingdom	
Hirter Privat Pils	/m/04dql0d			5.2					Hirter		Austria	/m/04dr2tr
Ridgeway Santa's Butt Winter Porter	/m/04dqlpv			6.0					Ridgeway		United Kingdom	/m/04dqzdh
Skinner's Cornish Gold	/m/04dqmzy			5.1					Skinner's Brewery		United Kingdom	/m/04dr1kh
Woodforde's Nelson's Revenge	/m/04dqqg3			4.5					Woodforde’s Brewery		United Kingdom	/m/04dr6c6
Molson Stock Ale	/m/04dqqkm			5.0					Molson		Canada	
Brouwerij Martens Damburger Export	/m/04dqrz0			5.1					Brouwerij Martens		Belgium	/m/04dr6cb
Roman Ename Tripel	/m/04dqt36			9.0					Roman		Belgium	/m/04dr2xw
Robinson's Top Tipple	/m/04dqwpg			3.9					Robinson's Brewery		United Kingdom	/m/04dqxz3
Brouwerij 't IJ Vlo	/m/04dqvww			7.0					Brouwerij 't IJ		Netherlands	/m/04dqywr
Chiltern Brewery Glad Tidings Spiced Milk Stout	/m/04dqv4g			4.6					Chiltern Brewery		United Kingdom	/m/04dr57q
Schöfferhofer Hefeweizen	/m/04dqtxc			5.0					Schöfferhofer		Germany	/m/04dr0zh
Friedrich Dull Krautheimer Urtyp Dunkel	/m/04dqd7m			5.4					Friedrich Dull		Germany	/m/04dr2qr
Broughton Ales Merlin's Ale	/m/04dqd1q			4.2					Broughton Ales		United Kingdom	/m/04dq_37
Wylam Toon Ale Brunette	/m/04dqf1f			4.8					Wylam Brewery		United Kingdom	/m/04dr0q7
Crouch Vale Brewery Best	/m/0dl8hgk	Golden ale		5.0					Crouch Vale Brewery			
Royal Oak Belgian Pale Ale	/m/0n1vlql								The Royal Oak Brewery			
Dark Horse Reserve Special Black Ale	/m/0mtzjsj	Strong Black Ale		7.5					Dark Horse Brewing Co.			/m/0mt_pyq,/m/0mt_pyf,/m/0mt_pz1
New Holland Golden Cap HG	/m/0n1v7gv								New Holland Brewing Company			
Kuhnhenn Sticke Alt	/m/0n4y3p7								Kuhnhenn Brewing Company			
Lost Coast Brewery Downtown Brown	/m/05k6h_z	Nut brown Ale		5.0					Lost Coast Brewery			/m/05k6j0t
Alpine Gold	/m/063hlvh	Golden ale							Tied-House Cafe & Brewery			
Ducal	/m/059022v								Cerveceria Nacional			
Rip Tide	/m/0b68kjd	Stout		8.0	1074.0		65.0		BrewDog			/m/0b68lsj,/m/0b68lsq,/m/0b68m5q,/m/0b68m5h
Harde	/m/0fpf0fd								Browar Amber			
Kuhnhenn Penetration Porter	/m/0n4y3n3								Kuhnhenn Brewing Company			
Copper Canyon Northwestern Gold	/m/0n4xzbp								Copper Canyon Brewery			
New Holland Sand Castle Wheat	/m/0n1v6xz								New Holland Brewing Company			
Kuhnhenn Double Nut Brown Ale	/m/0n4y3q5								Kuhnhenn Brewing Company			
Litli-Jón	/m/08v5g4			4.5								
Llangollen Welsh Black Bitter	/m/0hw767t			5.5					Llangollen Brewery		Wales	/m/0hw7gts
Royal Oak Raspberry Wheat	/m/0n1vlwb								The Royal Oak Brewery			
